,ia,ianum,lang,sentnum,trialid,prob_skip,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
1515,desconoce,88,sp,287,2,0.0,355.94117647058823,525.0588235294117,1.6176470588235294,2.4705882352941178,0.5,0.4411764705882353,5
1516,el,89,sp,287,2,0.4117647058823529,106.41176470588235,128.97058823529412,0.6470588235294118,0.7941176470588235,0.058823529411764705,0.08823529411764706,5
1517,origen,90,sp,287,2,0.029411764705882353,192.11764705882354,429.3235294117647,1.0294117647058822,2.323529411764706,0.14705882352941177,0.6470588235294118,5
1518,"exacto,",91,sp,287,2,0.08823529411764706,197.05882352941177,350.8529411764706,1.0588235294117647,1.7647058823529411,0.20588235294117646,0.35294117647058826,5
1519,aunque,92,sp,287,2,0.08823529411764706,234.0,304.7647058823529,0.9705882352941176,1.2941176470588236,0.058823529411764705,0.23529411764705882,5
1520,algunos,93,sp,287,2,0.058823529411764705,222.7058823529412,359.47058823529414,1.1764705882352942,1.9411764705882353,0.23529411764705882,0.38235294117647056,5
1521,relacionan,94,sp,287,2,0.029411764705882353,276.47058823529414,438.94117647058823,1.2352941176470589,2.1470588235294117,0.29411764705882354,0.38235294117647056,5
1522,el,95,sp,287,2,0.5588235294117647,84.11764705882354,90.11764705882354,0.4411764705882353,0.47058823529411764,0.0,0.029411764705882353,5
1523,origen,96,sp,287,2,0.17647058823529413,197.61764705882354,288.4117647058824,1.1176470588235294,1.6176470588235294,0.2647058823529412,0.35294117647058826,5
1524,de,97,sp,287,2,0.5882352941176471,63.76470588235294,69.70588235294117,0.4411764705882353,0.47058823529411764,0.029411764705882353,0.029411764705882353,5
1525,la,98,sp,287,2,0.5882352941176471,87.08823529411765,91.76470588235294,0.47058823529411764,0.5,0.058823529411764705,0.029411764705882353,5
1526,señal,99,sp,287,2,0.08823529411764706,206.73529411764707,278.2647058823529,1.0294117647058822,1.411764705882353,0.14705882352941177,0.20588235294117646,5
1527,con,100,sp,287,2,0.6470588235294118,73.61764705882354,73.61764705882354,0.35294117647058826,0.35294117647058826,0.0,0.0,5
1528,los,101,sp,287,2,0.3235294117647059,149.0,180.08823529411765,0.7352941176470589,0.9411764705882353,0.08823529411764706,0.14705882352941177,5
1529,inmigrantes,102,sp,287,2,0.0,339.55882352941177,561.6764705882352,1.5294117647058822,2.7058823529411766,0.5588235294117647,0.47058823529411764,5
1530,españoles,103,sp,287,2,0.0,320.61764705882354,493.7647058823529,1.4411764705882353,2.323529411764706,0.5294117647058824,0.4411764705882353,5
1531,de,104,sp,287,2,0.38235294117647056,78.94117647058823,92.05882352941177,0.6176470588235294,0.7058823529411765,0.0,0.058823529411764705,5
1532,"Hawái,",105,sp,287,2,0.08823529411764706,306.6764705882353,373.1764705882353,1.0588235294117647,1.3823529411764706,0.23529411764705882,0.17647058823529413,5
1533,que,106,sp,287,2,0.35294117647058826,128.8235294117647,169.5,0.6764705882352942,0.9117647058823529,0.029411764705882353,0.20588235294117646,5
1534,plegaban,107,sp,287,2,0.0,277.44117647058823,661.5294117647059,1.3235294117647058,3.088235294117647,0.4117647058823529,0.7941176470588235,5
1535,sus,108,sp,287,2,0.38235294117647056,117.61764705882354,196.91176470588235,0.6470588235294118,0.9705882352941176,0.029411764705882353,0.2647058823529412,5
1536,dedos,109,sp,287,2,0.11764705882352941,254.47058823529412,413.11764705882354,1.1176470588235294,1.8235294117647058,0.29411764705882354,0.4411764705882353,5
1537,del,110,sp,287,2,0.2647058823529412,166.7941176470588,224.35294117647058,0.7941176470588235,1.0588235294117647,0.08823529411764706,0.17647058823529413,5
1538,medio,111,sp,287,2,0.058823529411764705,222.7941176470588,418.3235294117647,1.1470588235294117,2.0,0.23529411764705882,0.4411764705882353,5
1539,y,112,sp,287,2,0.7647058823529411,47.35294117647059,52.23529411764706,0.23529411764705882,0.2647058823529412,0.0,0.029411764705882353,5
1540,se,113,sp,287,2,0.6470588235294118,65.5,87.0,0.35294117647058826,0.47058823529411764,0.0,0.08823529411764706,5
1541,llevaban,114,sp,287,2,0.029411764705882353,348.11764705882354,628.8529411764706,1.6764705882352942,2.823529411764706,0.5588235294117647,0.47058823529411764,5
1542,sus,115,sp,287,2,0.5588235294117647,99.94117647058823,132.38235294117646,0.47058823529411764,0.6470588235294118,0.029411764705882353,0.08823529411764706,5
1543,pulgares,116,sp,287,2,0.08823529411764706,250.38235294117646,441.2647058823529,1.2941176470588236,2.235294117647059,0.38235294117647056,0.4117647058823529,5
1544,a,117,sp,287,2,0.7647058823529411,36.411764705882355,36.411764705882355,0.23529411764705882,0.23529411764705882,0.0,0.0,5
1545,sus,118,sp,287,2,0.4117647058823529,127.52941176470588,191.76470588235293,0.6176470588235294,0.9117647058823529,0.029411764705882353,0.20588235294117646,5
1546,labios,119,sp,287,2,0.08823529411764706,270.55882352941177,426.7647058823529,1.3529411764705883,2.1176470588235294,0.35294117647058826,0.38235294117647056,5
1547,como,120,sp,287,2,0.4411764705882353,106.20588235294117,133.58823529411765,0.6176470588235294,0.7352941176470589,0.058823529411764705,0.11764705882352941,5
1548,un,121,sp,287,2,0.29411764705882354,133.0,150.73529411764707,0.7352941176470589,0.8235294117647058,0.029411764705882353,0.08823529411764706,5
1549,gesto,122,sp,287,2,0.17647058823529413,180.7941176470588,299.5,0.8823529411764706,1.411764705882353,0.058823529411764705,0.2647058823529412,5
1550,amistoso,123,sp,287,2,0.0,312.52941176470586,422.9117647058824,1.4705882352941178,2.2058823529411766,0.5882352941176471,0.3235294117647059,5
1551,que,124,sp,287,2,0.35294117647058826,115.58823529411765,139.52941176470588,0.7647058823529411,0.9411764705882353,0.11764705882352941,0.17647058823529413,5
1552,representaba,125,sp,287,2,0.029411764705882353,353.79411764705884,504.0882352941176,1.9705882352941178,2.7058823529411766,0.7941176470588235,0.3235294117647059,5
1553,compartir,126,sp,287,2,0.029411764705882353,177.73529411764707,390.5882352941176,1.0588235294117647,2.1176470588235294,0.20588235294117646,0.5588235294117647,5
1554,un,127,sp,287,2,0.6764705882352942,65.58823529411765,65.58823529411765,0.35294117647058826,0.35294117647058826,0.029411764705882353,0.0,5
1555,trago,128,sp,287,2,0.20588235294117646,215.2058823529412,279.94117647058823,0.8823529411764706,1.1764705882352942,0.08823529411764706,0.17647058823529413,5
1556,con,129,sp,287,2,0.5882352941176471,82.67647058823529,127.8529411764706,0.4411764705882353,0.6176470588235294,0.029411764705882353,0.14705882352941177,5
